sample_id,env_group,depth,cells_per_ml,temperature,total_nitrogen,total_phosphorus,diss_org_carbon,chlorophyll
May_12_B,Deep,102.8,2058864.2811420676,4.0738,465,3.78,2.478,0.05
May_12_E,Shallow_May,5,4696826.669122727,7.0127,465,4.39,2.38,2.53
May_12_M,Shallow_May,15,4808339.478471102,6.135,474,5.37,2.601,3.2
May_17_E,Shallow_May,5,3738681.0732212756,5.9916,492,4.67,2.435,0.55
May_29_B,Deep,27,2153085.800598664,4.66955,525,4.44,2.396,0.48
May_29_E,Shallow_May,5,3124920.3343311073,5.9739,521,3.71,2.283,0.79
May_29_M,Shallow_May,19,2566155.5035689618,5.6855,539,4.23,2.334,0.44
May_33_B,Deep,135,2293177.2696292885,3.8705,505,4.18,2.343,0.22
May_33_E,Shallow_May,5,5480858.582086114,7.9339,473,6.64,2.508,3.44
May_33_M,Shallow_May,20,3114433.4872208154,4.531549999999999,515,4.14,2.232,1.27
May_35_B,Shallow_May,27,3066161.9696062626,6.5737,479,4.32,2.613,1.26
May_35_E,Shallow_May,5,5417617.2903522905,11.2276,441,8.98,2.567,3.96
May_35_M,Shallow_May,10,4610370.219663827,11.0645,450,5.99,2.628,2.44
May_38_E,Shallow_May,5,5811794.658070458,12.3816,416,8.27,2.692,3.32
May_38_M,Shallow_May,14,5432987.325811651,11.2724,449,8.66,2.692,4.84
May_41_B,Deep,127,2422141.47340548,3.7637,475,2.52,2.389,0.21
May_41_E,Shallow_May,5,4044800.946120193,7.0363,435,5.46,2.437,2.84
May_43_E,Shallow_May,5,2787019.7110292423,5.8797,499,5.48,2.498,0.56
May_48_B,Shallow_May,35,2300782.2350909505,4.7906,477,2.31,2.179,0.24
May_48_E,Shallow_May,5,4260221.599355284,6.80945,472,2.66,2.733,0.38
May_55_B,Deep,189,1847686.398111904,3.6683,475,6.36,2.3,0.16
May_55_E,Shallow_May,5,4134619.5908358274,6.09525,468,5.44,3.416,4.96
May_55_M,Shallow_May,13,2583446.7934607416,5.0347,460,9.06,2.337,2.92
May_64_B,Deep,224,1631064.9608565508,3.6774,488,8.19,2.436,0.05
May_64_E,Shallow_May,5,4079543.630439788,7.953,448,9.77,2.385,9.72
May_64_M,Shallow_May,14,3870687.2631821316,5.83795,476,7.89,2.348,5.8
May_66_E,Shallow_May,5,5262155.785862307,12.3324,489,5.54,2.803,2.06
May_717_E,Shallow_May,5,4197940.934837669,10.2099,477,3.43,2.198,0.44
May_74_B,Deep,66,2270042.164172231,4.8653,450,5.17,2.406,0.05
May_74_E,Shallow_May,5,3173752.217821782,9.2661,472,4.45,2.942,4.8
May_74_M,Shallow_May,14,2976663.5339626987,8.6609,465,1.76,2.528,4.8
May_8_E,Shallow_May,5,4578829.626064932,8.4311,640,7.36,2.438,2.22
September_12_B,Deep,102,1703592.3156804051,4.1965,564,1.69,2.416,0.05
September_12_E,Shallow_September,5,4930739.39626986,18.1228,526,3.12,2.963,2.89
September_12_M,Deep,52,2304544.6916877734,4.7555,517,2.25,2.584,0.37
September_17_B,Shallow_September,10.9,6942212.734745568,18.1227,385,2.67,2.687,2.28
September_17_E,Shallow_September,5,7261861.440939443,18.4061,396,3.48,2.734,2.74
September_29_B,Shallow_September,27.9,6168187.355284365,19.0286,358,4.28,2.884,2.12
September_29_E,Shallow_September,5,5582204.75339627,19.0098,336,2.68,2.814,2.21
September_29_M,Shallow_September,15,5681149.356665899,19.0292,378,5.08,2.75,2.24
September_33_B,Deep,134.9,1246413.813032466,3.9767,506,4.15,2.487,0.05
September_33_E,Shallow_September,5,7027388.347916186,19.1526,370,4.72,2.578,2.5
September_33_M,Deep,68.5,1793410.9603960395,4.1696,521,3.56,2.233,0.25
September_35_B,Shallow_September,26.7,3563526.710798987,9.1792,528,4.45,2.475,1.14
September_35_E,Shallow_September,5,5481819.209302325,12.7614,501,4.28,2.452,1.85
September_35_M,Shallow_September,14.4,4330587.5429426655,10.0612,553,4.26,2.387,1.28
September_38_B,Deep,16.6,1783244.322357817,5.2679,582,4.29,2.409,0.51
September_38_E,Deep,5,1989859.2261109832,6.83795,526,4.43,2.396,1.01
September_41_B,Deep,126,1394350.404328805,3.831,483,4.1,2.388,0.05
September_41_E,Shallow_September,5,6847030.58807276,19.5624,336,4.46,2.719,2.18
September_41_M,Deep,63.9,2067910.187428045,3.93275,508,5.3,2.396,0.23
September_43_B,Shallow_September,15.6,6123518.189730601,19.4761,346,4.29,2.779,2.13
September_43_E,Shallow_September,5,5808672.619617776,19.4589,362,4.41,3.061,2.45
September_48_B,Shallow_September,31.5,5950365.13400875,19.2562,329,4.43,2.618,2.13
September_48_E,Shallow_September,5,6150896.0653925855,19.7803,310,5.97,2.573,2.18
September_48_M,Shallow_September,16.5,5888164.521759152,19.6652,364,4.62,2.626,2.37
September_55_B,Deep,189.6,1594240.917568501,3.7787,475,5.68,2.481,0.05
September_55_E,Shallow_September,5,5590850.398342159,20.0723,330,5.76,2.534,2.39
September_55_M,Deep,96,2008431.352291043,3.92295,464,6.11,2.395,0.11
September_62_B,Shallow_September,18,7002892.353902832,20.0727,338,7.2,2.649,1.68
September_62_E,Shallow_September,4.8,6389932.137692839,20.096,314,6.1,2.736,2.34
September_64_B,Deep,210,1459993.2641031544,3.7602,472,6.51,2.335,0.05
September_64_E,Shallow_September,5,5749994.307160949,20.4644,313,5.89,2.639,2.24
September_64_M,Deep,106,1852089.2728528667,3.9855,479,5.84,2.764,0.12
September_66_B,Shallow_September,15.8,6061237.525212986,19.9489,314,5.84,2.786,1.33
September_66_E,Shallow_September,5,6014887.262030854,20.1997,333,6.25,2.736,1.64
September_717_B,Deep,34.8,1575428.6345843887,4.0226,499,5.86,2.393,0.17
September_717_E,Shallow_September,5,5680108.677181672,18.7684,360,6.11,2.803,2.23
September_717_M,Deep,18.5,2024281.7013585079,4.8534500000000005,525,5.52,2.748,0.39
September_8_B,Shallow_September,13.4,5100450.204466958,18.9671,381,3.23,2.68,1.48
September_8_E,Shallow_September,5,6345503.128943127,18.9587,397,3.96,2.766,2.27
